Name,FundSize_Preqin,Sum_wtvpi,Sum_wirr_preqin,Firm_age,LogFundSize_Preqin,FundSize_Calvin,LogFundSize_Calvin,Log_Staffcount,Sum_wirr_all,MissingIRR,BuyoutFund,VCGrowthCapital,Diversified,Healthcare,Technology,ConsumerGoods,OtherIndustry,Public,HasESGonWebsite,E_navigationalpage,E_document,E_Portfoliocasestudies,E_Media,E_AdoptTCFD,E_SignatorytoICI,E_SignatoryNetZeroAsset,E_CarbonNeutralProtocolCert,S_navigationalpage,S_document,S_Portfoliocasestudies,S_Media,S_DEIpolicy,S_DEIcommittee,S_ChiefDiversityOfficer,S_SignatoryILPADiversity,S_SignatoryCEOAction,S_SponsorLevel20,S_10pctWomeninBoard,S_10pctWomeninLeadership,G_navigationalpage,G_document,G_Portfoliocasestudies,Other_ESGfund,Other_ESGmicrosite,Other_ESGdocument,Other_Portfoliocasestudies,Other_ESGMedia,Other_ESGsectionvisible,Other_ESGpolicy,Other_ESGreport,Other_ChiefESGofficer,Other_ESGcommittee,Other_SignatoryPRI,Other_AdoptAICGuidelines,Other_AdoptSASBstandards,Other_AlignwithSDGs,Other_SignatoryESGConvergence,Other_ESGAwards,E_HasDocumentsorPages,E_ALLSignatory,S_HasDEI,S_ALLSignatory,S_10PctWomenBoardExec,S_HasDocumentsorPages,G_HasDocumentsorPages,Other_HasESGHeadorCommittee,Other_ALLFramework,E_WeightedESGScore_1,S_WeightedESGScore_1,G_WeightedESGScore_1,Other_WeightedESGScore_1,Total_WeightedESGScore_1,E_WeightedESGScore_2,S_WeightedESGScore_2,G_WeightedESGScore_2,Other_WeightedESGScore_2,Total_WeightedESGScore_2,Total_WeightedESGScore_3,Total_WeightedESGScore_4,E_WeightedESGScore_5,S_WeightedESGScore_5,G_WeightedESGScore_5,Other_WeightedESGScore_5,Total_WeightedESGScore_5,Total_WeightedESGScore_6,Total_WeightedESGScore_7,Total_WeightedESGScore_8,E_GreenwashingScore_1,E_HasDocsOrMedia,E_GreenwashingScore_2,E_HasDocsOrMedia_2,S_GreenwashingScore_1,S_HasDocsOrMedia,S_GreenwashingScore_2,S_HasDocsOrMedia_2,High_Frameworks,Medium_Frameworks,Low_Frameworks,Low_Medium_Frameworks
GI Partners,10635,0.39469805359840393,5.5458984375,20,9.271905899047852,9002,9.105201721191406,4.532599449157715,5.5458984375,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.2307692319154739,0.4615384638309479,0,0,0,0.09090909361839294,0.1818181872367859,1,0.09090909361839294,0,0,0,0.20000000298023224,0.4000000059604645,0.20000000298023224,0.1818181872367859,0.4000000059604645,0,0,0,0,0,0,0,0,0,1,0,1
Thoma Bravo,86793.6015625,0.7425498366355896,15.215579986572266,41,11.371288299560549,50257,10.824905395507812,5.2983174324035645,15.215579986572266,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0.5833333134651184,0,0.2307692319154739,1.6282050609588623,0,0.5,0,0.27272728085517883,1.545454502105713,1,0.7727272510528564,0,0.6000000238418579,0,0.4000000059604645,2,1,1.045454502105713,1.4000000953674316,0,0,0,0,2,1,2,1,0,1,0,1
Berkshire Partners,13934,0.49132585525512695,9.914525985717772,37,9.54208755493164,4525,8.417372703552246,4.919981002807617,9.914525985717772,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0.4166666567325592,0,0.2307692319154739,1.294871807098389,0,0.30000001192092896,0,0.09090909361839294,0.7818182110786438,2,0.3909091055393219,0,0.20000000298023224,0,0.20000000298023224,0.800000011920929,0.4000000059604645,0.4818181991577149,0.6000000238418579,0,0,0,0,0,0,0,0,1,1,0,1
Silver Lake,62462,0.880760133266449,15.151996612548828,22,11.042313575744627,37286,10.526372909545898,5.370637893676758,15.151996612548828,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Kelso & Company,10718.5,NA,20.405607223510746,50,9.279726028442385,6579,8.791638374328613,4.007333278656006,20.405607223510746,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Genstar Capital Partners,27312,0.2157870978116989,9.230192184448242,33,10.215081214904783,21150,9.959395408630373,3.713572025299072,9.230192184448242,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Altaris,4943,0.5108084082603455,15.749848365783691,18,8.505727767944336,3851,8.2560882568359375,3.4011974334716797,15.749848365783691,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Madison Dearborn Partners,21095.599609375,1.2717393636703491,10.090269088745115,29,9.956819534301758,7552,8.929567337036133,4.317488193511963,10.090269088745115,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1538461595773697,0.3076923191547394,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Siguler Guff,10230,0.3852689862251282,4.636658668518066,30,9.23307991027832,4379,8.384575843811035,4.653960227966309,4.636658668518066,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3076923191547394,0.6153846383094788,0,0,0,0.1818181872367859,0.3636363744735718,1,0.1818181872367859,0,0,0,0.20000000298023224,0.4000000059604645,0.20000000298023224,0.3636363744735718,0.4000000059604645,0,0,0,0,0,0,0,0,0,1,0,1
Arsenal Capital Partners,10435,0.6115243434906006,5.649497032165527,21,9.252921104431152,8380,9.03360366821289,4.418840408325195,5.649497032165527,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.4166666567325592,0,0.1538461595773697,1.1410256624221802,0,0.30000001192092896,0,0.1818181872367859,0.9636363983154296,1,0.4818181991577149,0,0.20000000298023224,0,0.20000000298023224,0.800000011920929,0.4000000059604645,0.6636363863945007,0.6000000238418579,0,0,0,0,0,0,0,0,0,0,1,1
