Name,FundSize_Preqin,Sum_wtvpi,Sum_wirr_preqin,Firm_age,LogFundSize_Preqin,FundSize_Calvin,LogFundSize_Calvin,Log_Staffcount,Sum_wirr_all,MissingIRR,BuyoutFund,VCGrowthCapital,Diversified,Healthcare,Technology,ConsumerGoods,OtherIndustry,Public,HasESGonWebsite,E_navigationalpage,E_document,E_Portfoliocasestudies,E_Media,E_AdoptTCFD,E_SignatorytoICI,E_SignatoryNetZeroAsset,E_CarbonNeutralProtocolCert,S_navigationalpage,S_document,S_Portfoliocasestudies,S_Media,S_DEIpolicy,S_DEIcommittee,S_ChiefDiversityOfficer,S_SignatoryILPADiversity,S_SignatoryCEOAction,S_SponsorLevel20,S_10pctWomeninBoard,S_10pctWomeninLeadership,G_navigationalpage,G_document,G_Portfoliocasestudies,Other_ESGfund,Other_ESGmicrosite,Other_ESGdocument,Other_Portfoliocasestudies,Other_ESGMedia,Other_ESGsectionvisible,Other_ESGpolicy,Other_ESGreport,Other_ChiefESGofficer,Other_ESGcommittee,Other_SignatoryPRI,Other_AdoptAICGuidelines,Other_AdoptSASBstandards,Other_AlignwithSDGs,Other_SignatoryESGConvergence,Other_ESGAwards,E_HasDocumentsorPages,E_ALLSignatory,S_HasDEI,S_ALLSignatory,S_10PctWomenBoardExec,S_HasDocumentsorPages,G_HasDocumentsorPages,Other_HasESGHeadorCommittee,Other_ALLFramework,E_WeightedESGScore_1,S_WeightedESGScore_1,G_WeightedESGScore_1,Other_WeightedESGScore_1,Total_WeightedESGScore_1,E_WeightedESGScore_2,S_WeightedESGScore_2,G_WeightedESGScore_2,Other_WeightedESGScore_2,Total_WeightedESGScore_2,Total_WeightedESGScore_3,Total_WeightedESGScore_4,E_WeightedESGScore_5,S_WeightedESGScore_5,G_WeightedESGScore_5,Other_WeightedESGScore_5,Total_WeightedESGScore_5,Total_WeightedESGScore_6,Total_WeightedESGScore_7,Total_WeightedESGScore_8,E_GreenwashingScore_1,E_HasDocsOrMedia,E_GreenwashingScore_2,E_HasDocsOrMedia_2,S_GreenwashingScore_1,S_HasDocsOrMedia,S_GreenwashingScore_2,S_HasDocsOrMedia_2,High_Frameworks,Medium_Frameworks,Low_Frameworks,Low_Medium_Frameworks
Audax Group,10917.400390625,NA,9.588665008544922,22,9.298112869262695,6394,8.763114929199219,5.220355987548828,9.588665008544922,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0.3333333432674408,0,0.5384615659713745,1.7435898780822754,0,0.20000000298023224,0,0.4545454680919647,1.3090909719467163,2,0.6545454859733582,0,0.20000000298023224,0,0.6000000238418579,1.600000023841858,0.800000011920929,1.1090909242630005,1.4000000953674316,0,0,0,0,0,0,0,0,0,2,0,2
TowerBrook,6477.2998046875,NA,18.028549194335938,16,8.7760591506958,5300,8.575462341308594,4.624972820281982,18.028549194335938,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0.6666666865348816,0,1,3.3333334922790527,0,0.6000000238418579,0,1,3.200000047683716,3,1.600000023841858,0,0.6000000238418579,0,1,3.200000047683716,1.600000023841858,2.5999999046325684,2.5999999046325684,0,0,0,0,1,1,1,1,0,1,2,3
Kohlberg & Company,8205.099609375,0.5028131604194641,8.84752368927002,34,9.012511253356934,4500,8.411832809448242,4.634728908538818,8.84752368927002,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.25,0,0.3846153914928436,1.269230842590332,0,0.30000001192092896,0,0.4545454680919647,1.5090909004211426,0,0.7545454502105713,0,0.4000000059604645,0,0.6000000238418579,2,1,1.2090909481048584,1.600000023841858,0,0,0,0,3,1,2,1,0,0,0,0
Siris Capital,5901,NA,18.05129623413086,10,8.682877540588379,3450,8.146129608154297,4.143134593963623,18.05129623413086,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.25,0,0.1538461595773697,0.807692289352417,0,0.30000001192092896,0,0.1818181872367859,0.9636363983154296,0,0.4818181991577149,0,0.20000000298023224,0,0.20000000298023224,0.800000011920929,0.4000000059604645,0.6636363863945007,0.6000000238418579,0,0,0,0,0,0,0,0,0,0,0,0
Leonard Green & Partners,35900,1.3893046379089355,13.850835800170898,32,10.488492965698242,34490,10.448424339294434,4.060442924499512,13.850835800170898,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
The Vistria Group,5403.2998046875,0.6099526882171631,5.638717174530029,8,8.594764709472656,4652,8.445052146911621,4.248495101928711,5.638717174530029,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0.1818181872367859,0,0,0.5384615659713745,1.622377634048462,0,0,0,0.4545454680919647,0.9090909361839294,3,0.4545454680919647,0,0,0,0.6000000238418579,1.2000000476837158,0.6000000238418579,0.9090909361839294,1.2000000476837158,0,0,0,0,0,0,0,0,2,0,1,1
Charlesbank Capital Partners,10440,0.7890959978103638,7.961542129516602,23,9.253399848937988,10611,9.269646644592283,4.574710845947266,7.961542129516602,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackstone Group,135995.296875,0.7951598763465881,12.73341464996338,36,11.820375442504885,82457,11.320032119750977,8.21608829498291,12.73341464996338,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0.27272728085517883,0.5833333134651184,0,0.5384615659713745,3.0617716312408447,0.20000000298023224,0.699999988079071,0,0.4545454680919647,2.909090995788574,3,1.3545454740524292,0.3333333432674408,0.800000011920929,0,0.6000000238418579,3.8000001907348633,1.7333333492279053,2.0090909004211426,2.6666667461395264,3,1,1,1,2,1,1,1,2,1,0,1
Energy & Minerals Group,2063.300048828125,0.08440852165222168,NA,14,7.632061958312988,4042,8.304494857788086,3.0910425186157227,37.40999984741211,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
GTCR,24178,1.2748003005981443,19.29211807250977,41,10.093198776245115,15270,9.633645057678224,4.8828020095825195,19.29211807250977,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Platinum Equity,26460,0.1787603497505188,13.463265419006348,26,10.183389663696287,19260,9.865785598754885,5.703782558441162,13.463265419006348,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3636363744735718,0.3333333432674408,0,0,1.757575750350952,0.800000011920929,0.4000000059604645,0,0,3.200000047683716,0,1.2000000476837158,0.6666666865348816,0.4000000059604645,0,0,2.8000001907348633,1.0666667222976685,2,1.7333333492279053,3,1,0,1,3,1,2,1,0,0,0,0
Marlin Equity Partners,821.489990234375,1.0203064680099487,NA,16,6.711119651794434,4466,8.404248237609863,4.430816650390625,17.709999084472656,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Harvest Partners,8273,0.18221907317638397,10.972234725952148,40,9.020752906799316,4030,8.301521301269531,4.442651271820068,10.972234725952148,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3076923191547394,0.6153846383094788,0,0,0,0.1818181872367859,0.3636363744735718,1,0.1818181872367859,0,0,0,0.20000000298023224,0.4000000059604645,0.20000000298023224,0.3636363744735718,0.4000000059604645,0,0,0,0,0,0,0,0,0,0,1,1
EnCap Investments,486,NA,NA,33,6.186208724975586,12065,9.398063659667969,4.304065227508545,-6.019999980926514,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.27272728085517883,0.25,0.75,0.3846153914928436,2.837412595748902,0.6000000238418579,0.30000001192092896,0.75,0.27272728085517883,3.695454597473145,1,1.922727346420288,0.3333333432674408,0.4000000059604645,0.5,0.20000000298023224,2.700000047683716,1.433333396911621,2.795454502105713,1.9666666984558103,0,0,0,0,3,1,2,1,0,1,0,1
TPG,97996.59375,0.7917166948318481,8.232124328613281,29,11.492688179016112,32793,10.39797019958496,7.012115478515625,8.232124328613281,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0.25,0.25,0.6153846383094788,0,0,0.30000001192092896,0.25,0.5454545617103577,1.9409091472625732,0,1.0954545736312866,0,0.4000000059604645,0.5,0.6000000238418579,2.5,1.5,1.640909194946289,2.1000001430511475,0,0,0,0,3,1,2,1,0,2,0,2
Accel-KKR,9600,0.25334641337394714,1.5207812786102295,21,9.16951847076416,9180,9.12478256225586,4.2626800537109375,1.5207812786102295,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
NGP Energy Capital Management,505,NA,NA,33,6.224558353424072,5252,8.566364288330078,4.077537536621094,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Peak Rock Capital,NA,NA,NA,8,NA,3400,8.13153076171875,4.110873699188232,25.229999542236328,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Linden,5980,0.8033463358879089,10.466136932373049,17,8.696175575256348,4959,8.508959770202637,3.4339871406555176,10.466136932373049,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
The Riverside Company,8555.6796875,1.1994272470474243,7.676797389984131,33,9.054350852966309,4970,8.511175155639648,5.894402980804443,7.676797389984131,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.25,0,0,0.5,0,0.10000000149011612,0,0,0.20000000298023224,1,0.10000000149011612,0,0.20000000298023224,0,0,0.4000000059604645,0.20000000298023224,0.10000000149011612,0.20000000298023224,0,0,0,0,3,1,3,1,0,0,1,1
Oak Hill Capital Partners,10250,NA,12.09268283843994,35,9.23503303527832,11207,9.324294090270996,3.828641414642334,12.09268283843994,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0.4166666567325592,0,0.692307710647583,2.2179486751556396,0,0.30000001192092896,0,0.6363636255264282,1.8727272748947144,2,0.9363636374473572,0,0.4000000059604645,0,0.6000000238418579,2,1,1.5727272033691406,1.600000023841858,0,0,0,0,2,1,2,1,0,2,0,2
Apollo Global Management,68950.1015625,0.4111771881580353,19.08926010131836,31,11.141138076782228,31306,10.35156536102295,7.839919567108154,19.08926010131836,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0.4545454680919647,1,1,0.6153846383094788,5.594405651092529,1,1,1,0.5454545617103577,7.090909004211426,3,3.545454502105713,1,1,1,0.6000000238418579,7.199999809265137,3.5999999046325684,5.090909004211426,5.199999809265137,3,1,0,1,0,1,0,1,0,2,1,3
Quantum Energy Partners,1756,NA,10.976651191711426,23,7.470793724060059,5580,8.626943588256836,4.356709003448486,10.976651191711426,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.1818181872367859,0.1666666716337204,0,0.1538461595773697,1.1864802837371826,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
New Mountain Capital,25889.80078125,1.2392137050628662,14.829492568969728,13,10.161603927612305,17032,9.742849349975586,5.023880481719971,14.829492568969728,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1538461595773697,0.3076923191547394,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Levine Leichtman Capital Partners,8001.2001953125,NA,12.61721897125244,37,8.987346649169922,4710,8.4574432373046875,4.158883094787598,12.61721897125244,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
Francisco Partners,24705.69921875,NA,NA,22,10.114789009094238,32316,10.383317947387695,4.477336883544922,23.170000076293945,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hellman & Friedman,69621.703125,0.957255721092224,9.219427108764648,37,11.15083122253418,40925,10.61949634552002,4.521788597106934,9.219427108764648,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.25,0,0,0,0,0.30000001192092896,0,0,0,1,0,0,0.20000000298023224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
KKR,115471.703125,0.4215600192546845,12.302447319030762,45,11.656781196594238,126508,11.748061180114746,7.079184532165527,12.302447319030762,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0.4545454680919647,0.5833333134651184,0.25,0.7692307829856873,4.318764686584473,0.20000000298023224,0.699999988079071,0.25,0.7272727489471436,3.704545497894287,6,1.8772727251052856,0.3333333432674408,0.800000011920929,0.5,0.800000011920929,4.700000286102295,2.433333396911621,2.8045454025268555,3.566666603088379,2,1,1,1,2,1,1,1,2,2,2,4
Stone Point Capital,33067,0.18761397898197177,8.683418273925781,34,10.406291007995604,26390,10.180740356445312,5.03043794631958,8.683418273925781,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.1666666716337204,0,0,0,0,0.20000000298023224,0,0,0,0,0,0,0.20000000298023224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpine Investors,4981.39990234375,0.2994837462902069,3.0889711380004883,20,8.513465881347656,3872,8.261526107788086,4.290459632873535,3.0889711380004883,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.7692307829856873,1.5384615659713743,0,0,0,0.7272727489471436,1.454545497894287,1,0.7272727489471436,0,0,0,0.800000011920929,1.600000023841858,0.800000011920929,1.454545497894287,1.600000023841858,0,0,0,0,0,0,0,0,0,1,0,1
Nautic Partners,7612.39990234375,0.6165547370910645,11.692935943603516,35,8.937533378601074,4500,8.411832809448242,4.094344615936279,11.692935943603516,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
"Welsh, Carson, Anderson & Stowe",11780,1.0826208591461182,12.331714630126951,42,9.37415885925293,4336,8.374707221984863,4.605170249938965,12.331714630126951,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.3333333432674408,0,0.3076923191547394,1.2820513248443604,0,0.20000000298023224,0,0.1818181872367859,0.7636363506317139,3,0.38181817531585693,0,0.20000000298023224,0,0.20000000298023224,0.800000011920929,0.4000000059604645,0.5636363625526428,0.6000000238418579,0,0,0,0,0,0,0,0,0,2,1,3
L Catterton,18507.7890625,0.35128089785575867,3.4068915843963623,32,9.825946807861328,21639,9.98225212097168,5.105945587158203,3.4068915843963623,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.4166666567325592,0,0,0,0,0.30000001192092896,0,0,0,3,0,0,0.20000000298023224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
Providence Equity Partners,33451.6015625,0.5765700936317444,7.283806800842285,32,10.417855262756348,6021,8.703008651733398,5.1873860359191895,7.283806800842285,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0.25,0.25,0.2307692319154739,1.2115384340286257,0,0.30000001192092896,0.25,0.09090909361839294,1.031818151473999,1,0.6409090757369995,0,0.4000000059604645,0.5,0.20000000298023224,1.7000000476837158,1.100000023841858,0.7318181991577148,1.2999999523162842,0,0,0,0,3,1,2,1,0,0,1,1
Adams Street Partners,42897.23828125,1.4125864505767822,14.264617919921877,49,10.666563034057615,14833,9.604609489440918,5.393627643585205,14.264617919921877,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0.3636363744735718,0.5,0,0.3846153914928436,2.860139846801758,0,0.6000000238418579,0,0.27272728085517883,1.7454545497894287,4,0.8727272748947144,0,0.6000000238418579,0,0.4000000059604645,2,1,1.1454546451568604,1.4000000953674316,0,0,0,0,2,1,1,1,2,2,0,2
Trilantic North America,4049,1.5559444427490234,14.71230411529541,12,8.306224822998047,3924,8.274867057800293,3.912023067474365,14.71230411529541,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0.6666666865348816,0,0.5384615659713745,2.4102563858032227,0,0.6000000238418579,0,0.4545454680919647,2.10909104347229,3,1.054545521736145,0,0.6000000238418579,0,0.6000000238418579,2.4000000953674316,1.2000000476837158,1.5090909004211426,1.8000000715255735,0,0,0,0,1,1,1,1,0,2,1,3
Arcline Investment Management,4250,NA,NA,3,8.354674339294434,4250,8.354674339294434,3.6888794898986816,24.489999771118164,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3076923191547394,0.6153846383094788,0,0,0,0.1818181872367859,0.3636363744735718,1,0.1818181872367859,0,0,0,0.20000000298023224,0.4000000059604645,0.20000000298023224,0.3636363744735718,0.4000000059604645,0,0,0,0,0,0,0,0,0,0,1,1
American Securities,10961,1.091690182685852,18.431381225585938,27,9.302099227905272,7860,8.969541549682617,3.9512436389923096,18.431381225585938,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.5,0,0.1538461595773697,1.307692289352417,0,0.4000000059604645,0,0.1818181872367859,1.1636364459991455,1,0.5818182229995728,0,0.4000000059604645,0,0.20000000298023224,1.2000000476837158,0.6000000238418579,0.7636363506317139,0.800000011920929,0,0,0,0,2,1,2,1,0,1,0,1
AEA Investors,13070.7001953125,NA,4.311389923095703,53,9.47812843322754,5700,8.648221015930176,5.147494316101074,4.311389923095703,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.3846153914928436,0.7692307829856873,0,0,0,0.27272728085517883,0.5454545617103577,3,0.27272728085517883,0,0,0,0.4000000059604645,0.800000011920929,0.4000000059604645,0.5454545617103577,0.800000011920929,0,0,0,0,0,0,0,0,1,1,1,2
Clayton Dubilier & Rice,36997.6015625,0.366160124540329,3.5407700538635254,43,10.51860809326172,33699,10.425223350524902,5.231108665466309,3.5407700538635254,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.5,0,0.1538461595773697,1.307692289352417,0,0.4000000059604645,0,0,0.800000011920929,4,0.4000000059604645,0,0.4000000059604645,0,0,0.800000011920929,0.4000000059604645,0.4000000059604645,0.4000000059604645,0,0,0,0,2,1,2,1,0,2,2,4
The Jordan Company,13107.2998046875,1.0200117826461792,20.054244995117188,39,9.480924606323242,6728,8.814033508300781,4.043051242828369,20.054244995117188,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0.4166666567325592,0,0.3846153914928436,1.6025640964508057,0,0.30000001192092896,0,0.27272728085517883,1.1454546451568604,3,0.5727273225784302,0,0.20000000298023224,0,0.4000000059604645,1.2000000476837158,0.6000000238418579,0.8454545736312866,1,0,0,0,0,0,0,0,0,0,2,1,3
Blue Owl Capital,18077.5,0.9988181591033936,36.34905242919922,0,9.802423477172852,16290,9.698307037353516,5.857933044433594,36.34905242919922,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.5,0,0.1538461595773697,1.307692289352417,0,0.6000000238418579,0,0.1818181872367859,1.5636364221572876,0,0.7818182110786438,0,0.6000000238418579,0,0.20000000298023224,1.600000023841858,0.800000011920929,0.9636363983154296,1,0,0,0,0,2,1,1,1,0,0,0,0
Spectrum Equity,4915,0.27739572525024414,3.7261078357696538,27,8.500046730041504,3470,8.151909828186035,3.871201038360596,3.7261078357696538,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0
